Name,Company,Position,LinkedIn 
Igal Zamir,TAT Technologies Ltd.,CEO,https://www.linkedin.com/in/igal-zamir-9049a214
Guy Guzner,Savvy,CEO & Co-Founder,https://www.linkedin.com/in/guyguzner
Mustafa Bilge,LootCopter Game Studio,VP of Growth and Product,https://www.linkedin.com/in/mbilge
Noam Aharon,Art by Noam,Artist,https://www.linkedin.com/in/noam-aharon-504760108
Tariq Alwahedi,Yas Holding,Managing Director Yas Holding,https://www.linkedin.com/in/bchem
Leon Vaidman,Agora RE,Private Investor,https://www.linkedin.com/in/leonv
Ariel Maislos,Coho AI,Co-Founder,https://www.linkedin.com/in/arielmaislos
Kobi Katz,Maccabi Health care Services,"EVP, CIO, Head of Technology Division",https://www.linkedin.com/in/kobi-jacob-katz
Ishay Green,MGK Labs,Chief Executive Officer,https://www.linkedin.com/in/ishaygreen
Tzvika Friedman,Mobilicom,Board Member,https://www.linkedin.com/in/tzvika-friedman-b48119
Omer Erkmen,Yeni Nesil Kafası,Co-Founder,https://www.linkedin.com/in/omererkmen
Vijay Agicha,Naspers,"Global Head of Strategy, M&A and Investments, PayU (Prosus Group)",https://www.linkedin.com/in/vijay-agicha-8533792
Gal Haselkorn,Okapi AI,Chief Executive Officer,https://www.linkedin.com/in/galhaselkorn
Sagi Eckhaus,iCape - Empowering Retailers and Malls to maximize their business potential,Co-Founder & CEO,https://www.linkedin.com/in/sagi-eckhaus-680b321
Okan Barlas,KeyFruit Inc.,Fellow,https://www.linkedin.com/in/okanbarlas
Meeta Gupta,Moolah for Women- Moolah Literacy Pvt Ltd.,Founder and CEO,https://www.linkedin.com/in/meeta-gupta-7822771a
Aleyna Doekuek,Origin Logistics,Operation Specialist,https://www.linkedin.com/in/aleyna-dökük-68a889172
David S.,World High Life,Co-Founder,https://www.linkedin.com/in/david-s-b40301126
Shmulik Regev,Transmit Security,CTO,https://www.linkedin.com/in/shmulik-regev-9085622
Erhan Acar,Bond Digital,Chief Executive Officer,https://www.linkedin.com/in/erhan-acar-1a3a8a2
Ersin Gencturk,Bithesap,Founder,https://www.linkedin.com/in/ersingencturk
Zohar Rozenberg,Tripledot Studios,Chief Operating Officer,https://www.linkedin.com/in/zohar-rozenberg-0502221
Okan Erol,Sortext,Co-Founder & CEO,https://www.linkedin.com/in/okanerol
Paul Vittecoq,SIX INCH INTERIOR DECORATION,General Manager,https://www.linkedin.com/in/paul-vittecoq-4a184430
Ilhan Bagoren,Telenity,"Founder, CEO",https://www.linkedin.com/in/ilhan-bagoren-37a88
Dalya T.,CRYSP VERTICAL FARMS,Board Advisor,https://www.linkedin.com/in/dalya-t-4b41a54
Miri Eisin,Women In International Security Israel,Board Member,https://www.linkedin.com/in/miri-eisin-a579ab43
Zafer Tokcanli,Buddy Performance,Co-Founder & Board Member,https://www.linkedin.com/in/zafer-şafak-tokcanli-b25545a
Yaron Elad,Elron Ventures,Chief Executive Officer at Elron Ventures,https://www.linkedin.com/in/yaron-elad-aa7a213b
Noa Wolfson,Susquehanna Growth Equity,Growth Equity Investor,https://www.linkedin.com/in/noawolfson
Boaz Kantor,Future Energy Ventures,Advisor,https://www.linkedin.com/in/boazkantor
Erhan Celik,Athena Bilgi Teknolojileri,Founder,https://www.linkedin.com/in/erhancelik
Adi Zukovsky,Battery Ventures,Partner,https://www.linkedin.com/in/adidangot
Sueleyman Sahin,Coinbase,Investor,https://www.linkedin.com/in/süleyman-şahin-53074096
Sky Kurtz,Pure Harvest Smart Farms,Founder & CEO @ Pure Harvest Smart Farms; Co-founder,https://www.linkedin.com/in/skykurtz
Magnus Kjoller,Kjøller,Founder and owner,https://www.linkedin.com/in/magnuskjoeller
Patrick Lardi,ST Real Estate Holding Inc.,Member of the Board of Directors,https://www.linkedin.com/in/patricklardi
Lalit Vase,NASR ESPORTS,Founder and CEO,https://www.linkedin.com/in/lalit-vase-71ab8a15
Tal Zackon,TRES Finance,Customer Support,https://www.linkedin.com/in/talzackon
Michael Denormandie,Fjord,Investor,https://www.linkedin.com/in/michael-denormandie-8b6563b4
Ishay Green,MGK Labs,Chief Executive Officer,https://www.linkedin.com/in/ishaygreen
On Freund,Wilco,Co-Founder & CEO,https://www.linkedin.com/in/onfreund
Mansour Almulla,ADQ,Group Chief Investment Officer,https://www.linkedin.com/in/mansour-almulla-6bb17064
Khaled Huraimel,BEEAH Group,Group CEO & Vice Chairman,https://www.linkedin.com/in/khaledalhuraimel
Mohammed A.,Emrgo,Chief Executive Officer,https://www.linkedin.com/in/malsehli
Gal Sides,Sides סידס,Vice President,https://www.linkedin.com/in/gal-sides-1775a115
Zeynep Unal,YTU,Professor at Restoration Department,https://www.linkedin.com/in/zeynep-gül-ünal-66061920
Emre Goever,Ekosera Kimya San. Tic. A.Ş.,Co-founding GM,https://www.linkedin.com/in/emre-gover
Zeevi Michel,Elaia,Partner,https://www.linkedin.com/in/zeevimichel
Meeta Gupta,Moolah for Women- Moolah Literacy Pvt Ltd.,Founder and CEO,https://www.linkedin.com/in/meeta-gupta-7822771a
Tariq Alwahedi,Yas Holding,Managing Director Yas Holding,https://www.linkedin.com/in/bchem
Jonathan Junowicz,Fortinet,Major Account Manager - Very Large Enterprise,https://www.linkedin.com/in/jonathan-nevo-junowicz-5a30551
Yariv Nornberg,Julius Baer,"Head of Partnerships and Strategic Projects for Israel, Turkey, Greece & Cyprus",https://www.linkedin.com/in/yariv-nornberg-6257b
Drnoor Atatreh,AL Ain University of Science and Technology,Deputy Chairman of board of trustees,https://www.linkedin.com/in/dr-noor-aldeen-atatreh-540b2296
Alex Oppenheimer,Verissimo Ventures,Verissimo Ventures,https://www.linkedin.com/in/alex-oppenheimer
Ofer Wald,500 Startups,Mentor,https://www.linkedin.com/in/oferwald
Ariel Maislos,Coho AI,Co-Founder,https://www.linkedin.com/in/arielmaislos
Gal Haselkorn,Okapi AI,Chief Executive Officer,https://www.linkedin.com/in/galhaselkorn
Charles-Antoine Beyney,BSO,Chairman & co-founder,https://www.linkedin.com/in/cabeyney
