VC Firm name,Website,Contact,Global HQ,Countries of investment,Stage of investment
Dale Ventures,http://dale.com/,Vist website,"Dubai, Dubai, United Arab Emirates",UAE,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
Leyden Ventures,https://www.leyden.vc/,Vist website,"Emirates Towers, Dubai, UAE",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent"
Mubadala Ventures,https://www.mubadala.com/en/what-we-do/capital/ventures,Vist website,"Abu Dhabi, Abu Dhabi, United Arab Emirates","USA,UAE",3. Early Revenue
Nuwa Capital,https://nuwacapital.io/,Vist website,"Dubai, UAE and Riyadh, KSA","UAE,Saudi Arabia,Oman,Egypt,Jordan,Pakistan,Turkey,Lebanon,Kenya,Uganda,Morocco,Tunisia,Bahrain,Kuwait","3. Early Revenue,4. Scaling,5. Growth"
Shibumi International ,http://www.shibumi-international.com/,Vist website,UAE,USA,"2. Prototype,3. Early Revenue"
TerraVC,https://terra.vc/,Vist website,UAE,"Israel,USA,Canada",3. Early Revenue
Turn8,http://turn8.co/team,Vist website,UAE,"USA,Israel,Canada",2. Prototype
Venture MENA,http://www.venturemena.com/,Vist website,"34th Floor, 3416 ResCo-Work04, Al Maqam Tower Abu Dhabi Global Market, Abu Dhabi, UAE","UAE,Saudi Arabia,Egypt,Kuwait,Qatar,Bahrain,Jordan,Palestine,Iraq,Morocco,Algeria,Tunisia,Oman,Lebanon","1. Idea or Patent,2. Prototype,3. Early Revenue"
Alarabi Venture Capital,https://alarabiinvest.com/,Vist website,"512, Index Tower, DIFC, Dubai, UAE","UAE,Saudi Arabia,Bahrain,Jordan,Lebanon,Egypt,Oman,Kuwait,Qatar","3. Early Revenue,4. Scaling"
Mempool Ventures,https://www.mempool.ventures,Vist website,"Dubai Silicon Oasis, DDP, Building A2, Dubai-UAE","Afghanistan,Angola,Andorra,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Algeria,Belarus,Barbados,Belgium,Belize,Benin,Bhutan,Botswana,Bosnia-H,Brunei,Brazil,Burkina Faso,Bulgaria,Cabo Verde,Cambodia,Cameroon,Burundi,Bangladesh,Canada,Chile,Colombia,Comoros,Congo (Congo-Brazzaville),Chad,Albania,Central African Republic,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Equatorial Guinea,El Salvador,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Fiji,Finland,Ethiopia,France,Gambia,Gabon,Germany,Georgia,Ghana,Greece,Grenada,Guatemala,Cuba,Iceland,Ireland,Israel,Italy,Jamaica,Japan,Monaco,New Zealand,Netherlands,Philippines,Spain,Saudi Arabia,USA,UK,UAE,Norway,Switzerland,Singapore,Sweden,Hong Kong,Latvia,Lithuania",1. Idea or Patent
Sheesha Finance,https://www.sheeshafinance.io/,Vist website,"ALMAS-48-CV34 ALMAS Tower Plot, JLT-PH1-A0 Jumeirah Lakes Towers, Dubai, United Arab Emirates","Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
MARC Group,http://www.marc-group.com/,Vist website,"Limestone House, Dubai, UAE ","Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Ecuador,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nauru,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Oman,Palestine,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Taiwan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue,4. Scaling"
Shorooq Partners,https://www.shorooq.com/,Vist website,"14th Floor, Al Khatem Tower, ADGM Square  Al Falah Street Abu Dhabi, UAE","UAE,Saudi Arabia,Bahrain,Jordan,Egypt,Tunisia,Morocco,Pakistan,Bangladesh","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
Randev Ventures (Family Office),https://www.randevventures.com,Vist website,"Dubai, United Arab Emirates","India,UAE,Singapore,USA,Canada","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling"
First Stage Labs,https://fslabs.io/,Vist website,"Boulevard Plaza, Dubai, UAE","UAE,India,Indonesia,Portugal,Brazil,USA,UK,Armenia,Georgia,France,Latvia,Lithuania,Cyprus","2. Prototype,3. Early Revenue,1. Idea or Patent"
Ritesh Lalwani,https://www.ekosystem.company,Vist website,UAE,"India,UAE","3. Early Revenue,4. Scaling"
Global Millennial Capital,https://globalmillennialcapital.com/,Vist website,"Ascott Hotel Park Place Office Tower, 605 Dubai United Arab Emirates",USA,"2. Prototype,3. Early Revenue,4. Scaling"
Crypto Kingdom Ventures,https://cryptokingdom.ventures/,Vist website,55 Doha Road - Al Qusais 1 - Dubai - UAE,"India,Seychelles,Indonesia,UAE",3. Early Revenue
Vit Mzokov,https://letsrock.vc,Vist website,UAE,"Argentina,Brazil,USA,Kazakhstan,Kyrgyzstan,Uzbekistan,Austria,Belarus,Germany,Luxembourg,Portugal,Russia,Spain,UK,Ukraine,Saudi Arabia,Turkey,UAE","2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
